# 常用英语单词 10000 个(Google 万亿语料词频排序;音标/释义来自 ECDICT)
# 格式: 序号	单词	音标	中文释义
52	site	sait	n. 位置, 场所, 地点；vt. 给...择址
53	he	hi:	pron. 他；n. 男孩, 男人, 雄性动物
54	up	ʌp	a. 向上的, 起床的, 涨的；adv. 向上, 上涨；prep. 在...上面, 向...的较高处
55	may	mei	n. 五月；aux. 愿能, 可以, 愿意
56	what	hwɒt	pron. 什么；interj. 怎么, 多么；a. 什么的；adv. 到什么程度
57	which	hwitʃ	pron. 哪一个, 那一个
58	their	ðєә	pron. 他们的
59	news	nju:z	n. 新闻, 消息, 报导；[法] 新闻, 消息, 新闻报导
60	out	aut	a. 外面的, 熄灭的, 结束的；adv. 在外, 熄灭, 出现；prep. 出自, 离去, 向
61	use	ju:s	n. 使用, 习惯, 使用价值, 用法, 使用权；vt. 使用, 利用, 运用, 耗费；vi. 惯常
62	any	'eni	a. 任何的；pron. 任何
63	there	ðєә	adv. 在那里
64	see	si:	vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意；vi. 看, 观看, 注意, 知道, 考虑；n. 主教的职位
65	only	'әunli	a. 唯一的, 仅有的, 最佳的；adv. 只有, 仅仅, 只能；conj. 但是, 不过
66	so	sәu	adv. 如此, 如是, 如...那样；conj. 所以, 因此；pron. 这样
67	his	hiz	pron. 他的；[化] 组氨酸
68	when	hwen	conj. 当...的时候；adv. 何时, 什么时候；pron. 什么时侯；n. 时间
69	contact	'kɒntækt	n. 联系, 交际, 熟人, 接触；vi. 接触, 联系；vt. 使接触
70	here	hiә	adv. 在这里, 此时, 这里；n. 这里
71	business	'biznis	n. 生意, 事情, 业务, 商业, 商行, 职责；[经] 企业, 商业, 营业
72	who	hu:	pron. 谁
73	web	web	n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸；vi. 结网, 形成网；vt. 织蜘蛛网于, 使落入圈套
74	also	'ɒ:lsәu	adv. 也, 并且, 同样地
75	now	nau	adv. 现在, 刚才, 目前；n. 现在；a. 现在的；conj. 由于
76	help	help	n. 帮忙, 帮助者, 补救办法, 有益的东西；vt. 帮助, 帮忙, 接济, 治疗, 款待；vi. 有用, 救命, 招待； DOS外部命令: DOS命令的电子文件帮助程序
77	get	get	vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上；vi. 到达, 成为, 变得；n. (网球等)救球, 生殖, 幼兽
78	pm		出纳员, 军需官
79	view	vju:	n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象；vt. 看, 考虑, 视察, 查看, 估量
80	online		a on a regular route of a railroad or bus or airline system；a connected to a computer network or accessible by computer；s being in progress now
81	c	si:	[化] 碳的化学符号; 胞苷
82	e	i:	n. the base of the natural system of logarithms; approximately equal to 2.718282...；n. the 5th letter of the Roman alphabet
83	first	fә:st	adv. 首先, 第一, 优先；a. 第一的；num. 第一；n. 开始, 第一
84	am	æm	be的单数第一人称
85	been	bi:n	be的过去分词
86	would	wud	aux. 将, 愿意
87	how	hau	adv. 如何, 怎样, 多少, 多么；n. 方式
88	were	wә:	be的过去式
89	me	mi:	pron. 我
90	s	es	[医] 硫[黄](16号元素); 半; 骶骨的; 标记, 用法签; 光滑; 左的; 上转
91	services		n. 服务；服务项目（service复数形式）
92	some	sʌm	pron. 一些, 一部分, 若干；adv. 大约；a. 一些的, 少许的, 某一的
93	these	ði:z	pron. 这些
94	click	klik	n. 咔哒声, 啪嗒声；vi. 作咔哒声；vt. 使发咔哒声
95	its	its	pron. 它的
96	like	laik	a. 相似的, 同样的；vt. 喜欢, 愿意, 想；vi. 喜欢, 希望；n. 爱好, 同样的人(或物)；prep. 象, 如同；adv. 可能
97	service	'sә:vis	n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门；vt. 保养, 维修；a. 武装部队的, 服务性的, 仆人的, 耐用的
98	x	eks	n. 未知数
99	than	ðæn	conj. 比, 除...外；prep. 比
100	find	faind	vt. 发现, 感到, 找到, 认为, 得到；vi. 裁决；n. 发现； DOS外部命令:在指定的文件或从键盘输入的文本行中；寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上
101	price	prais	n. 价格, 代价, 价值；vt. 定...的价格
102	date	deit	n. 日期, 约会, 枣椰树；vt. 约会, 定日期；vi. 注明日期, 过时
103	back	bæk	a. 后面的；vt. 使后退, 支持；vi. 倒退, 背靠；adv. 向后地；n. 背部, 后面
104	top	tɒp	n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺；a. 最高的, 顶上的, 头等的；vt. 盖, 加以顶, 高达, 超越；vi. 结束, 达到顶点, 高出
105	people	'pi:pl	n. 人, 人民, 民族, 平民；vt. 使住满人, 居住于
106	had	hæd	have的过去式和过去分词
107	list	list	n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单；vt. 列出, 列于表上, 记入名单内, 装布条；vi. 列于表上
108	name	neim	n. 名字, 名称, 姓名, 名义, 名誉, 文件名；vt. 命名, 称呼, 任命, 提名, 列举；a. 姓名的, 据以取名的
109	just	dʒʌst	a. 正直的, 合理的, 正确的, 应得的；adv. 刚刚, 正好, 仅仅
110	over	'әuvә	adv. 结束, 越过, 从头到尾；prep. 在...之上, 遍于...之上, 越过；a. 上面的；vt. 越过
111	state	steit	n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位；a. 国家的, 正式的, 礼仪用的, 州的；vt. 说明, 陈述, 规定
112	year	jiә	n. 年, 年度, 年龄；[经] 年度
113	day	dei	n. 天, 日子, 白天, 工作日；[医] 日(一昼夜), 昼, 白天
114	into	'intu:	prep. 进入...之内, 朝..., 深入...之中, 成为...状况
115	email	'i:'meil	n. 电子信函
116	two	tu:	num. 二, 二个
117	health	'helθ	n. 健康, 卫生, 蓬勃, 健康状态；[医] 健康
118	n	en	[医] 氮(7号元素), 当量的, 规度的(溶液)
119	world	wә:ld	n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量；[法] 世界, 地球, 世人
120	re	ri:	prep. 关于；n. 不动产, 房地产
121	next	'nekst	n. 下一个；a. 下一个的, 其次的, 贴近的；adv. 然后, 下次, 次于
122	used	'ju:st	a. 使用过的, 二手的, 习惯的
123	go	gou	vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下；vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)；n. 去, 尝试, 进行
124	b	bi:	[医] 硼(5号元素)
125	work	wә:k	n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程；vi. 工作, 劳动, 做, 运转, 起作用, 被加工；vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成
126	last	lɑ:st	a. 最后的, 末尾的, 最近的；vi. 持续, 支持, 维持；vt. 使维持, 够...用；adv. 最后, 后来；n. 最后, 末尾, 鞋楦头
127	most	mәust	n. 最多, 最大；a. 大多数的, 几乎全部的, 最多的；adv. 最, 最多, 极其
128	products		n. 产品；商品（product的复数）
129	music	'mju:zik	n. 音乐, 乐曲
130	buy	bai	vt. 买, 获得；vi. 买；n. 购买, 买得的东西
131	data	'deitә	pl. 资料, 数据； DOS内部命令:用于显示或设定系统的日期
132	make	meik	vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行；vi. 开始, 前进, 增大, 被制造, 被处理；n. 制造, 构造, 性情
133	them	ðem	pron. 他们, 她们, 它们
134	should	ʃud	aux. 应该, 将要
135	product	'prɒdʌkt	n. 产品, 结果, 乘积；[化] 生产物
136	system	'sistәm	n. 系统, 体系, 制度, 方式, 秩序, 分类原则； 体制; 体系
137	post	pәust	n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营；vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置；vi. 快速行进；adv. 急速地； 登记, 上电自检
138	her	hә:	pron. 她的, 她
139	city	'siti	n. 城市, 市；[法] 都市, 城市, 市
140	t	ti:	[医] 温度, 胸的, 胸廓的, 眼球内压, 眼压, 垓, 千京, 兆兆
141	add	æd	vt. 增加, 添加, 附带说明, 计算...总和；vi. 做加法, 积累而成, 增添
142	policy	'pɒlisi	n. 政策, 方针, 策略, 保险单；[医] 凭单, 保险单
143	number	'nʌmbә	n. 数, 数字, 数目, 号码；vt. 数, 计算, 共计；vi. 计算, 报数
144	such	sʌtʃ	a. 如此的, 这样的
145	please	pli:z	adv. 请；vt. 使高兴, 合...的心意, 取悦；vi. 使人满意, 讨好, 愿意, 敬请
146	available	ә'veilәbl	a. 可利用的, 可获得的, 有效的；[医] 有效的, 可得的
147	copyright	'kɒpirait	n. 版权, 著作权；[法] 著作权
148	support	sә'pɒ:t	n. 支持, 支撑, 援助, 供养, 支撑物；vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实； 支持
149	message	'mesidʒ	n. 消息, 通讯, 讯息, 教训, 预言, 广告词；vt. 通知；vi. 通报, 报告, 报信； 消息; 信息
150	after	'ɑ:ftә	prep. 在...之后, 由于；conj. 在...之后；adv. 后来
151	best	best	a. 最好的；adv. 最好地；n. 最好的人
152	software	'sɒftwєә	n. 软件
153	then	ðen	adv. 然后, 当时；conj. 然后, 当时；n. 那时
154	jan	dʒæn	n. 一月
155	good	gud	n. 善行, 好处, 利益；a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的
156	video	'vidiәu	n. 影像, 电视；a. 图像的, 电视的
157	well	wel	n. 井, 泉水, 源泉, 好；v. 涌出；a. 健康的, 良好的, 适宜的, 恰当的；adv. 很好地, 适当地, 好意地, 很, 完全；interj. 好啦
158	d	di:	[医] 氘, 重氢
159	where	hwєә	adv. 在哪里；pron. 哪里；n. 地点
160	info	'infәu	n. 信息
161	rights		n. 正当权利
162	public	'pʌblik	n. 公众, 民众；a. 公众的, 公共的, 公立的, 公用的
163	books		n. 书评；书籍（book的复数）
164	high	hai	n. 高度, 高处；a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的；adv. 高度地, 奢侈地
165	school	sku:l	n. 学校, 鱼群, 门派, 学派；vt. 教育, 训练, 培养；vi. 成群地游
166	through	θru:	adv. 穿越, 从头至尾, 到底, 因为；prep. 经过, 穿过；a. 对穿的, 直达的, 完结的
167	m	em	[医] 容积克分子(溶液), 容模的
168	each	i:tʃ	a. 每个, 每一；adv. 每个；pron. 每个, 个人, 各自
169	links	liŋks	n. 高尔夫球场
170	she	ʃi:	pron. 她
171	review	ri'vju:	n. 检讨, 复习, 回顾, 检阅, 评论；vt. 温习, 检讨, 评论, 再检察, 复审；vi. 复习功课, 写评论
172	years		n. 年代；岁月；年；年龄
173	order	'ɒ:dә	n. 次序, 规则, 命令；vi. 命令, 定货；vt. 整理, 命令, 定购；n. 顺序, 阶数
174	very	'veri	a. 真正的, 恰好的, 十足的, 特有的；adv. 非常, 完全
175	privacy	'praivәsi	n. 隐私, 隐居, 秘密
176	book	buk	n. 书, 书籍, 帐簿, 名册, 工作簿；v. 登记, 预订
177	items		n. 项目；名目；所有物品（item的复数形式）
178	company	'kʌmpәni	n. 公司, 友伴, 交往, 连队, 朋友, 一群；vt. 陪伴；vi. 交往
179	r	ɑ:(r)	n. the 18th letter of the Roman alphabet
180	read	ri:d	v. 读, 阅读, 理解；a. 有学问的；n. 读取, 阅读
181	group	gru:p	n. 团体, 组, 团, 群；v. 聚合, 成群； 组, 用户组
182	sex	seks	n. 性别, 性欲；vt. 区别...的性别, 引起...的性欲
183	need	ni:d	n. 需要, 必须, 缺乏；vt. 需要, 必需；vi. 贫困, 有必要；aux. 需要
184	many	'meni	n. 多数, 多数人；a. 许多的；pron. 许多
185	user	'ju:zә	n. 使用者
186	said	sed	a. 上述的；say的过去式和过去分词
187	de	di:	[化] 非对映体过量；[医] 铥(69号元素铥的别名,1916年Eder离得的假想元素)
188	does	dʌz; dәz	v. 做；工作；有用（do的第三人称单数形式）
189	set	set	n. 日落, 同伙, 组合, 集合, 装置；vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整；vi. 日落, 凝固, 定型, 搁住, 结果, 适合；a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的； DOS内部命令:改变或显示分配给环境变量的值
190	under	'ʌndә	prep. 在...之下, 低于；a. 下面的, 从属的；adv. 在下面
191	general	'dʒenәrәl	n. 一般, 将军, 大体；a. 全面的, 大体的, 总的, 一般的, 普遍的；n. 常规
192	research	ri'sә:tʃ	n. 研究, 调查, 考察；vi. 研究, 调查
193	university	.ju:ni'vә:siti	n. 大学
194	january	'dʒænjuәri	n. 一月
195	mail	meil	n. 邮件, 邮政, 邮递, 盔甲；vt. 邮寄, 给...穿盔甲
196	full	ful	n. 全部, 完整；a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的；adv. 完全地, 整整, 十分；vt. 把(衣服等)缝得宽松, 漂洗
197	map	mæp	n. 地图, 天体图, 映像；vt. 映射, 绘制...地图, 计划
198	reviews		n. 评论；综述；复核；复习（review的复数）
199	program	'prәugræm	n. 节目, 节目单, 程序, 纲要, 大纲, 计划；vt. 规划, 拟...计划；vi. 安排节目, 编程序
200	life	laif	n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑；[医] 生活, 生存, 生命, 寿命
201	know	nәu	v. 知道, 了解, 认识, 确信
202	games		n. (英)体操课, 体育课, [谓语用单数或复数]运动会, 比赛会, 竞技会
203	way	wei	n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面；adv. 远远地, 非常
204	days	deiz	n. 一生, 时期；adv. 每天, 在白天
205	management	'mænidʒmәnt	n. 经营, 支配, 管理；[化] 管理处
206	p	pi:	便士
207	part	pɑ:t	n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位；vt. 分开, 分离, 断绝, 区别, 分配；vi. 分开, 断裂, 分手；a. 部分的, 局部的；adv. 部分地, 有些
208	could	kud	aux. 可以, 能
209	great	greit	a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的；adv. 顺利地, 得意地；n. 全部, 大人物, 大师
210	united	ju:'naitid	a. 联合的, 团结的, 一致的, 和睦的；[法] 联合的, 统一的, 一致的
211	hotel	hәu'tel	n. 旅馆, 客栈
212	real	'riәl	a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的；n. 实数, 现实；adv. 真正地
213	f	ef	n. the 6th letter of the Roman alphabet
214	item	'aitәm	n. 项目, 条款, 一则, 项
215	international	.intә'næʃәnәl	a. 国际的；n. 国别设定
216	center	'sentә	n. 中心, 中心点, 中锋；a. 中央的, 位在正中的；vt. 集中, 定中心；vi. 居中； 中央
217	ebay		电子港湾；易趣（知名网上购物网站）
218	must	mʌst	n. 必须, 未发酵葡萄汁, 绝对必要的事物；aux. 必须
219	store	stɒ:	n. 商店, 贮藏, 仓库, 备用品, 存储器；vt. 储存, 贮藏, 供给；vi. 贮藏；a. 贮藏的, 现成的； 存储
220	travel	'trævl	n. 旅行, 游历, 行进；vi. 旅行, 行进, 移动, 被传播；vt. 旅行, 通过, 使移动
221	comments		n. 注解；评论（comment的复数）
222	made	meid	a. 人工制成的, 成功的, 创造的；make的过去式和过去分词
223	development	di'velәpmәnt	n. 发展；[化] 展开
224	report	ri'pɒ:t	n. 报告, 报道, 传说, 案情报告, 爆炸声, 成绩单；vt. 报告, 汇报, 转述, 报道, 揭发, 使报到；vi. 报告, 写报道, 报到
225	off	ɒf	a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的；adv. 走开, ...掉, ...下, 休息, 出发, 隔断；prep. 离开, 脱落, 不在从事......, 在...之外；vi. 离开, 滚开；vt. 杀死；n. 关闭状态
226	member	'membә	n. 成员, 会员；[医] │肢, 肢体
227	details		n. 详细资料；细节（detail的复数）
228	line	lain	n. 列, 线, 绳, 电线, 线路, 路线, 航线, 作业线, 界线, 战线, 外形, 排, 家系；vt. 排成一行, 顺...排列, 划线于, 加衬里, 使有线条, 使起皱纹；vi. 排队
229	terms		n. 条件, 条款, 费用, 价钱, 关系, 地位, 交谊；[经] 条件
230	before	bi'fɒ:	prep. 在...之前；conj. 在...之前；adv. 在前
231	hotels		n. 酒店；大饭店；旅馆（hotel的复数）
232	did	did	do的过去式
233	send	send	vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于；vi. 寄信, 派人, 播送；n. (船的)上升运动
234	right	rait	n. 权利, 右边, 正义, 右派, 公正；a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的；adv. 正确地, 以有利结果, 一直, 直接, 向右；vt. 扶直, 整理, 纠正, 伸冤, 使昭雪；vi. 恢复平衡
235	type	taip	n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式；vi. 打字；vt. 作为代表, 测定类型, 用打字机打； 键入; DOS内部命令:在屏幕上显示指定文件的内容
236	because	bi'kɒ:z	conj. 因为
237	local	'lәukәl	a. 地方性的, 当地的, 局部的, 乡土的, 本地的；n. 当地居民, 本地新闻, 局部； 局部
238	those	ðәuz	pron. 那些
239	using		n an act that exploits or victimizes someone (treats them unfairly)；v put into service; make work or employ for a particular purpose or for its inherent or natural purpose；v take or consume (regularly…
240	results		n. 结果；成绩（result的复数）
241	office	'ɒfis	n. 办公室, 部, 公职, 职责；[化] 办公室
242	education	.edju'keiʃәn	n. 教育, 训练, 教育学；[医] 教育, 训练
243	national	'næʃәnәl	a. 国家的, 国立的, 全国性的, 民族的；[经] 全国性的, 国家的, 国民的
244	car	kɑ:	n. 汽车, 客车；[机] 车
245	design	di'zain	n. 设计, 图样, 方案, 企图；v. 设计, 计划
246	take	teik	vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费；vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产；n. 拿, 取, 收成, 奏效
247	posted		v. 贴出；布置；通告（post的过去分词）
248	internet	'intәnet	n. a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
249	address	ә'dres	n. 住址, 演说, 举止, 灵巧, 求爱；vt. 发表(演说或讲话), 对付, 写地址
250	community	kә'mju:niti	n. 社区, 公众, 共有, 共同体；[经] 公众, 共有, 社会
251	within	wi'ðin	n. 内部, 里头；adv. 在内部, 在内心里；prep. 在...之内
252	states		n. 美国
253	area	'єәriә	n. 区域, 面积, 范围, 空地
254	want	wɒnt	n. 需要的东西, 缺乏, 贫困, 需要；vt. 要, 希望, 应该, 缺少；vi. 生活困苦, 需要, 缺少
255	phone	fәun	n. 电话, 受话器, 耳机；vt. 打电话给；vi. 打电话
256	dvd		abbr. 数字化视频光盘（Digital Video Disk）
257	shipping	'ʃipiŋ	n. 装运, 航行, 船舶, 船舶吨数；[经] 装运, 运送, 海运
258	reserved	ri'zә:vd	a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的；[法] 用作储备的, 保留的, 预定的
259	subject	'sʌbdʒekt	n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由；a. 服从的, 易患...的, 隶属的, 受支配的；adv. 在...条件下；vt. 使隶属, 使受到
260	between	bi'twi:n	prep. 在...之间
261	forum	'fɒ:rәm	n. 论坛, 公开讨论的广场, 法庭, 讨论会；[法] 讨论会, 专题讨论, 公共论坛
262	family	'fæmәli	n. 家庭, 家人, 族；a. 家庭的
263	l	el	n. 见习驾驶员
264	long	lɒŋ	a. 长的, 长久的, 冗长的, 做多头的；vi. 渴望, 热望, 极想；adv. 长久, 始终；n. 长时间, 长信号, 长整型
265	based	beist	v. 立基于, 以…为基础（base的过去式和过去分词）
266	w	'dʌb(ә)lju:	[医] 钨(74号元素)
267	code	kәud	n. 代码, 密码, 法规, 法典；vt. 把...编码
268	show	ʃәu	n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相；vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领；vi. 露面, 显现, 演出
269	o	әu	interj. 啊, 唉, 哎呀, 哦；n. 零
270	even	'i:vәn	a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的；vt. 使平坦, 使相等；vi. 变平, 成为相等；adv. 甚至, 实际上, 完全, 十分；n. 偶数, 偶校验
271	black	blæk	n. 黑色, 黑颜料；a. 黑色的
272	check	tʃek	n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军；vt. 检查, 阻止, 核对, 寄存, 托运；vi. 逐项相符, 开支票
273	special	'speʃәl	n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员；a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的
274	prices		n. 价格（price的复数）
275	website		n. 网站（全球资讯网的主机站）
276	index	'indeks	n. 索引, 指针, 指数, 指标；vt. 编入索引中, 指出；vi. 做索引； 附标; 变址; 索引; 编索引
277	being	'bi:iŋ	n. 存在, 性质, 生命, 人, 生物, be的现在分词
278	women	'wimin	pl. 女人
279	much	mʌtʃ	n. 大量, 许多, 重要的事；a. 很多的, 重要的；adv. 多, 甚, 几乎
280	sign	sain	n. 符号, 招牌, 征兆, 正负号, 手势；vt. 签名, 打手势表达；vi. 签名； 符号; 符号字符
281	file	fail	n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀；vi. 列队行进, 用锉刀做；vt. 归档, 申请, 锉, 琢磨
282	link	liŋk	n. 环, 连结物, 链接, 火把；vt. 连结, 联合, 挽住；vi. 连接起来
283	open	'әupәn	n. 公开, 户外, 空旷；a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的；vt. 打开, 公开, 开放；vi. 展开, 开始, 展现； 打开语句
284	today	tә'dei	n. 今天, 当今, 现在；adv. 今天, 当今
285	technology	tek'nɒlәdʒi	n. 技术, 工业技术, 术语；[医] 技术学, 工艺学
286	south	sauθ	n. 南方, 南；a. 南的, 向南的；adv. 在南方；vi. 转向南方
287	case	keis	n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子；vt. 装箱, 包盖
288	project	'prɒdʒekt	n. 计划, 设计, 事业；vt. 计划, 设计, 投掷, 发射, 使凸出, 放映；vi. 凸出
289	same	seim	a. 相同的, 同样的；pron. 相同的人(或事物)；adv. 同样地
290	pages		n. 页数；青年侍从（page的复数）
291	uk	ju: 'kei	n. 联合王国
292	version	'vә:ʒәn	n. 一种描述, 版本, 译文
293	section	'sekʃәn	n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区；vt. 把...分段, 把...切片；vi. 被切成片
294	own	әun	n. 自己的；a. 自己的, 嫡亲的, 同胞的；vt. 拥有, 支配, 自认, 承认, 顺从于；vi. 承认, 供认
295	found	faund	vt. 建立, 创立, 铸造；find的过去式和过去分词
296	sports	spɔ:ts	n. (英)运动会, 运动的, 适用于运动的, 运动会的, 与运动会有关的
297	house	haus	n. 房子, 住宅, 机构, 议院, 家族, 家庭；vt. 给...房子住, 收藏；vi. 住, 躲藏
298	related	ri'leitid	a. 讲述的, 叙述的；有关系的, 有关联的
299	security	si'kjuriti	n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
300	both	bәuθ	a. 两者的；adv. 两者都；pron. 两者
301	g	dʒi:	[化] 鸟苷
302	county	'kaunti	n. 县, 郡
303	american	ә'merikәn	n. 美国人；a. 美国的, 美洲的
304	photo	'fәutәu	n. 相片, 照片, 逼真的描绘；v. 照相；a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的
305	game	geim	n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味；vi. 赌博；a. 勇敢的, 有胆量的, 关于野味的, 跛的； 对策
306	members		n. 成员；会员（member的复数）
